Velocity (Spirals), Velocity (Lines),Pressure(Spirals),Pressure(Lines),Acceleration(Lines),Jerk(Lines),Jerk(Spirals),Acceleration(Spirals),No. of Time Velocity Changes(Spirals),No. of Times Velocity Changes(Lines),No. of Detected Peaks in Velocity Spectogram(Lines),No. of Detected Peaks in Velocity Spectogram(Spirals),SARIMA(Unravelled Spiral),Exponential Smoothing(Unravelled Spiral),Standard Deviation(Lines),Fractal Dimension(Lines),Approximate Entropy(Lines),Singular Value Decomposition(Lines),Spectral Entropy(Lines),Autoregression(Lines),Permutation Entropy(Lines),Standard Deviation(Spirals),Fractral Dimension(Spiral),Approximate Entropy(Spiral),Singular Value Decomposition(Spiral),Sample Entropy(Spiral),Spectral Entropy(Spiral),Permutation Entropy(Spiral),Autoregression(Spiral),Label
206.0675959,179.1202184,3783.577778,3687.856483,3068.093575,285222.217,214769.7109,2728.533408,815,876.6666667,33.5,9.2,453.0321125,536.3077475,116626.4525,1.004030609,0.060642032,0.278291703,0.45770662,437898.5785,0.316824917,116626.4525,1.004030609,0.060642032,0.04909822,0.04909822,0.45770662,0.316824917,437898.5785,Off
284.6315609,291.377731,4001.647059,4008.2335,6021.203575,500226.0471,382825.668,4998.081757,398.25,691.6666667,39.2,19,632.3364372,589.5701824,90180.02741,1.016263,0.077404893,0.286138489,0.452332156,339438.2306,0.379701509,90180.02741,1.016263,0.077404893,0.066331812,0.066331812,0.452332156,0.379701509,339438.2306,On
199.5479629,203.0526472,3550.34832,3230.659763,3340.088422,336739.9342,268950.3609,3025.761904,346,832.6666667,10.8,8.833333333,444.1534205,529.1370333,114760.5332,0.999546271,0.056991316,0.291803831,0.469670385,414800.4228,0.280022613,114760.5332,0.999546271,0.056991316,0.050004072,0.050004072,0.469670385,0.280022613,414800.4228,Off
293.5677269,357.2835614,3991.369156,3975.149399,6978.068263,546077.5157,386747.6461,5240.966273,396,816.5,53.42857143,22.125,627.0026553,595.3024441,74373.12384,1.014613571,0.143739225,0.271380358,0.436587991,280070.3371,0.3864153,74373.12384,1.014613571,0.143739225,0.129281821,0.129281821,0.436587991,0.3864153,280070.3371,Off
270.8616349,373.2037225,3958.880672,3949.078873,7933.177323,696197.5889,360482.0032,4564.631621,1696,841,46.52173913,22.66666667,543.320292,590.0593191,73663.51005,1.034699589,0.14953625,0.289131689,0.451474031,282179.6351,0.459872675,73663.51005,1.034699589,0.14953625,0.119067227,0.119067227,0.451474031,0.459872675,282179.6351,Off
281.3874231,316.887982,4041.362168,3900.030996,6728.730263,583724.9142,383410.4917,4847.308479,240.2857143,459.5,43.78571429,22.18181818,502.6260098,561.3243269,81116.32222,1.04172436,0.120160761,0.301990955,0.434168883,308600.6857,0.314207594,81116.32222,1.04172436,0.120160761,0.103805212,0.103805212,0.434168883,0.314207594,308600.6857,Off
204.9647206,258.4749271,2746.30999,2768.869318,3462.753097,337588.3546,242373.0257,2926.808468,453.25,591.6666667,6.333333333,29,580.6447654,568.4593213,77403.8061,1.004654148,0.079738493,0.343299403,0.510771254,296088.3827,0.226712156,39234.51034,1.019924414,0.292937214,0.267786021,0.267786021,0.283012201,0.958189029,203904.6118,H
292.99196,779.5218044,3757.310431,2520.354396,8084.490748,879280.4899,386930.3686,4139.449576,753,340.5,4.75,28.2,620.1198679,580.9311491,29413.1848,1.071460672,0.236940871,0.47683079,0.644439906,97388.65315,0.315997133,34490.68703,1.031190422,0.286297283,0.261122799,0.261122799,0.195755012,0.994329046,167327.2505,H
167.6941754,162.4562762,3465.018941,3630.031596,2921.90636,288207.8281,265289.0566,2809.381835,1188.5,474.8333333,19.11111111,8.6,458.7386014,534.176937,125838.6442,1.002841213,0.049276838,0.276335813,0.458930416,487133.476,0.219030097,125838.6442,1.002841213,0.049276838,0.040997786,0.040997786,0.458930416,0.219030097,487133.476,On
313.8494278,1034.664921,3873.155517,2401.048093,9843.297798,1073366.453,354867.0019,3758.908451,544.5,564,4.5,13.33333333,579.0463566,535.0607442,26095.90659,1.025817262,0.182966214,0.480529259,0.57314799,75757.54509,0.29367631,25621.16995,1.07305968,0.360525753,0.296265816,0.296265816,0.221953414,0.983611636,122480.8318,H
276.2369033,608.5374218,2636.309339,2088.971108,5543.063429,386695.3851,163131.0932,2951.319941,489.5,197,16,4.5,241.1281608,500.8991915,25601.53989,1.046124919,0.192390399,0.490390878,0.595523882,80041.0541,0.2108423,22395.0959,1.106093761,0.336752195,0.212561442,0.212561442,0.278946,0.904381458,112812.7081,H
337.6226823,710.2574889,3686.071429,2430.919328,6205.372489,532511.1506,360185.9729,4220.934351,307.75,140.25,5,38.70588235,772.7472951,556.2454494,23986.05265,1.08734325,0.331129036,0.517552964,0.660975031,73747.59488,0.428810965,28020.25418,1.039458949,0.297191489,0.287682072,0.287682072,0.246506853,0.998462856,139800.1279,H
257.3279757,430.781291,3285.720656,2567.106173,4469.210602,435341.6731,245971.6755,3043.710566,486.3333333,376,2.5,19,714.6963578,523.6792912,51306.08906,1.002773673,0.118551301,0.398300229,0.537052399,173741.4101,0.355488678,30521.5584,1.034532065,0.330718625,0.315481961,0.315481961,0.264945122,0.970950594,160339.6451,H
